species,island,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,18.7,181.0,3750.0,MALE
Adelie,Torgersen,17.4,186.0,3800.0,FEMALE
Adelie,Torgersen,18.0,195.0,3250.0,FEMALE
Adelie,Torgersen,,,,
Adelie,Torgersen,19.3,193.0,3450.0,FEMALE
Adelie,Torgersen,20.6,190.0,3650.0,MALE
Adelie,Torgersen,17.8,181.0,3625.0,FEMALE
Adelie,Torgersen,19.6,195.0,4675.0,MALE
Adelie,Torgersen,18.1,193.0,3475.0,
Adelie,Torgersen,20.2,190.0,4250.0,
Adelie,Torgersen,17.1,186.0,3300.0,
Adelie,Torgersen,17.3,180.0,3700.0,
Adelie,Torgersen,17.6,182.0,3200.0,FEMALE
Adelie,Torgersen,21.2,191.0,3800.0,MALE
Adelie,Torgersen,21.1,198.0,4400.0,MALE
Adelie,Torgersen,17.8,185.0,3700.0,FEMALE
Adelie,Torgersen,19.0,195.0,3450.0,FEMALE
Adelie,Torgersen,20.7,197.0,4500.0,MALE
Adelie,Torgersen,18.4,184.0,3325.0,FEMALE
Adelie,Torgersen,21.5,194.0,4200.0,MALE
Adelie,Biscoe,18.3,174.0,3400.0,FEMALE
Adelie,Biscoe,18.7,180.0,3600.0,MALE
Adelie,Biscoe,19.2,189.0,3800.0,FEMALE
Adelie,Biscoe,18.1,185.0,3950.0,MALE
Adelie,Biscoe,17.2,180.0,3800.0,MALE
Adelie,Biscoe,18.9,187.0,3800.0,FEMALE
Adelie,Biscoe,18.6,183.0,3550.0,MALE
Adelie,Biscoe,17.9,187.0,3200.0,FEMALE
Adelie,Biscoe,18.6,172.0,3150.0,FEMALE
Adelie,Biscoe,18.9,180.0,3950.0,MALE
Adelie,Dream,16.7,178.0,3250.0,FEMALE
Adelie,Dream,18.1,178.0,3900.0,MALE
Adelie,Dream,17.8,188.0,3300.0,FEMALE
Adelie,Dream,18.9,184.0,3900.0,MALE
Adelie,Dream,17.0,195.0,3325.0,FEMALE
Adelie,Dream,21.1,196.0,4150.0,MALE
Adelie,Dream,20.0,190.0,3950.0,MALE
Adelie,Dream,18.5,180.0,3550.0,FEMALE
Adelie,Dream,19.3,181.0,3300.0,FEMALE
Adelie,Dream,19.1,184.0,4650.0,MALE
Adelie,Dream,18.0,182.0,3150.0,FEMALE
Adelie,Dream,18.4,195.0,3900.0,MALE
Adelie,Dream,18.5,186.0,3100.0,FEMALE
Adelie,Dream,19.7,196.0,4400.0,MALE
Adelie,Dream,16.9,185.0,3000.0,FEMALE
Adelie,Dream,18.8,190.0,4600.0,MALE
Adelie,Dream,19.0,182.0,3425.0,MALE
Adelie,Dream,18.9,179.0,2975.0,
Adelie,Dream,17.9,190.0,3450.0,FEMALE
Adelie,Dream,21.2,191.0,4150.0,MALE
Adelie,Biscoe,17.7,186.0,3500.0,FEMALE
Adelie,Biscoe,18.9,188.0,4300.0,MALE
Adelie,Biscoe,17.9,190.0,3450.0,FEMALE
Adelie,Biscoe,19.5,200.0,4050.0,MALE
Adelie,Biscoe,18.1,187.0,2900.0,FEMALE
Adelie,Biscoe,18.6,191.0,3700.0,MALE
Adelie,Biscoe,17.5,186.0,3550.0,FEMALE
Adelie,Biscoe,18.8,193.0,3800.0,MALE
Adelie,Biscoe,16.6,181.0,2850.0,FEMALE
Adelie,Biscoe,19.1,194.0,3750.0,MALE
Adelie,Biscoe,16.9,185.0,3150.0,FEMALE
Adelie,Biscoe,21.1,195.0,4400.0,MALE
Adelie,Biscoe,17.0,185.0,3600.0,FEMALE
Adelie,Biscoe,18.2,192.0,4050.0,MALE
Adelie,Biscoe,17.1,184.0,2850.0,FEMALE
Adelie,Biscoe,18.0,192.0,3950.0,MALE
Adelie,Biscoe,16.2,195.0,3350.0,FEMALE
Adelie,Biscoe,19.1,188.0,4100.0,MALE
Adelie,Torgersen,16.6,190.0,3050.0,FEMALE
Adelie,Torgersen,19.4,198.0,4450.0,MALE
Adelie,Torgersen,19.0,190.0,3600.0,FEMALE
Adelie,Torgersen,18.4,190.0,3900.0,MALE
Adelie,Torgersen,17.2,196.0,3550.0,FEMALE
Adelie,Torgersen,18.9,197.0,4150.0,MALE
Adelie,Torgersen,17.5,190.0,3700.0,FEMALE
Adelie,Torgersen,18.5,195.0,4250.0,MALE
Adelie,Torgersen,16.8,191.0,3700.0,FEMALE
Adelie,Torgersen,19.4,184.0,3900.0,MALE
Adelie,Torgersen,16.1,187.0,3550.0,FEMALE
Adelie,Torgersen,19.1,195.0,4000.0,MALE
